gameId,teamId,teamCity,teamName,gameType,availableFlag,efgPct,ftaRate,gameDate,gameDateTimeEst,home,matchup,min,oppEfgPct,oppFtaRate,oppOrebPct,oppTovPct,opponentTeamCity,opponentTeamId,opponentTeamName,orebPct,teamAbbreviation,teamName_right,tmTovPct,win,wl
22500727,1610612750,Minnesota,Timberwolves,Regular Season,1,0.588,0.258,2026-02-04T00:00:00,2026-02-04 19:30:00,0,MIN @ TOR,48.0,0.612,0.27,0.261,0.126,Toronto,1610612761,Raptors,0.333,MIN,,0.096,1,W
22500728,1610612738,Boston,Celtics,Regular Season,1,0.539,0.222,2026-02-04T00:00:00,2026-02-04 20:00:00,0,BOS @ HOU,48.0,0.482,0.268,0.264,0.11,Houston,1610612745,Rockets,0.462,BOS,,0.167,1,W
22500731,1610612758,Sacramento,Kings,Regular Season,1,0.505,0.28,2026-02-04T00:00:00,2026-02-04 22:00:00,1,SAC vs. MEM,48.0,0.6,0.311,0.298,0.126,Memphis,1610612763,Grizzlies,0.414,SAC,,0.127,0,L
22500732,1610612746,LA,Clippers,Regular Season,1,0.5,0.15,2026-02-04T00:00:00,2026-02-04 22:30:00,1,LAC vs. CLE,48.0,0.592,0.133,0.308,0.091,Cleveland,1610612739,Cavaliers,0.256,LAC,,0.242,0,L
22500727,1610612761,Toronto,Raptors,Regular Season,1,0.612,0.27,2026-02-04T00:00:00,2026-02-04 19:30:00,1,TOR vs. MIN,48.0,0.588,0.258,0.333,0.096,Minnesota,1610612750,Timberwolves,0.261,TOR,,0.126,0,L
22500730,1610612760,Oklahoma City,Thunder,Regular Season,1,0.5,0.151,2026-02-04T00:00:00,2026-02-04 21:30:00,0,OKC @ SAS,48.0,0.515,0.198,0.356,0.133,San Antonio,1610612759,Spurs,0.19,OKC,,0.133,0,L
22500731,1610612763,Memphis,Grizzlies,Regular Season,1,0.6,0.311,2026-02-04T00:00:00,2026-02-04 22:00:00,0,MEM @ SAC,48.0,0.505,0.28,0.414,0.127,Sacramento,1610612758,Kings,0.298,MEM,,0.126,1,W
22500728,1610612745,Houston,Rockets,Regular Season,1,0.482,0.268,2026-02-04T00:00:00,2026-02-04 20:00:00,1,HOU vs. BOS,48.0,0.539,0.222,0.462,0.167,Boston,1610612738,Celtics,0.264,HOU,,0.11,0,L
22500717,1610612754,Indiana,Pacers,Regular Season,1,0.619,0.321,2026-02-03T00:00:00,2026-02-03 19:00:00,1,IND vs. UTA,48.0,0.642,0.295,0.19,0.096,Utah,1610612762,Jazz,0.214,IND,,0.143,0,L
22500720,1610612748,Miami,Heat,Regular Season,1,0.479,0.271,2026-02-03T00:00:00,2026-02-03 19:30:00,1,MIA vs. ATL,48.0,0.589,0.129,0.204,0.084,Atlanta,1610612737,Hawks,0.276,MIA,,0.121,0,L
22500717,1610612762,Utah,Jazz,Regular Season,1,0.642,0.295,2026-02-03T00:00:00,2026-02-03 19:00:00,0,UTA @ IND,48.0,0.619,0.321,0.214,0.143,Indiana,1610612754,Pacers,0.19,UTA,,0.096,1,W
22500718,1610612764,Washington,Wizards,Regular Season,1,0.471,0.372,2026-02-03T00:00:00,2026-02-03 19:00:00,1,WAS vs. NYK,48.0,0.617,0.3,0.217,0.089,New York,1610612752,Knicks,0.263,WAS,,0.129,0,L
22500722,1610612749,Milwaukee,Bucks,Regular Season,1,0.634,0.155,2026-02-03T00:00:00,2026-02-03 20:00:00,1,MIL vs. CHI,48.0,0.544,0.253,0.255,0.098,Chicago,1610612741,Bulls,0.333,MIL,,0.14,1,W
22500716,1610612765,Detroit,Pistons,Regular Season,1,0.521,0.319,2026-02-03T00:00:00,2026-02-03 19:00:00,1,DET vs. DEN,48.0,0.506,0.518,0.26,0.099,Denver,1610612743,Nuggets,0.321,DET,,0.09,1,W
22500724,1610612755,Philadelphia,76ers,Regular Season,1,0.522,0.226,2026-02-03T00:00:00,2026-02-03 22:00:00,0,PHI @ GSW,48.0,0.596,0.026,0.262,0.22,Golden State,1610612744,Warriors,0.509,PHI,,0.143,1,W
22500718,1610612752,New York,Knicks,Regular Season,1,0.617,0.3,2026-02-03T00:00:00,2026-02-03 19:00:00,0,NYK @ WAS,48.0,0.471,0.372,0.263,0.129,Washington,1610612764,Wizards,0.217,NYK,,0.089,1,W
22500723,1610612760,Oklahoma City,Thunder,Regular Season,1,0.581,0.28,2026-02-03T00:00:00,2026-02-03 20:00:00,1,OKC vs. ORL,48.0,0.455,0.124,0.273,0.163,Orlando,1610612753,Magic,0.396,OKC,,0.113,1,W
22500721,1610612742,Dallas,Mavericks,Regular Season,1,0.466,0.247,2026-02-03T00:00:00,2026-02-03 20:00:00,1,DAL vs. BOS,48.0,0.557,0.052,0.275,0.105,Boston,1610612738,Celtics,0.291,DAL,,0.094,0,L
22500720,1610612737,Atlanta,Hawks,Regular Season,1,0.589,0.129,2026-02-03T00:00:00,2026-02-03 19:30:00,0,ATL @ MIA,48.0,0.479,0.271,0.276,0.121,Miami,1610612748,Heat,0.204,ATL,,0.084,1,W
22500721,1610612738,Boston,Celtics,Regular Season,1,0.557,0.052,2026-02-03T00:00:00,2026-02-03 20:00:00,0,BOS @ DAL,48.0,0.466,0.247,0.291,0.094,Dallas,1610612742,Mavericks,0.275,BOS,,0.105,1,W
22500719,1610612751,Brooklyn,Nets,Regular Season,1,0.532,0.149,2026-02-03T00:00:00,2026-02-03 19:30:00,1,BKN vs. LAL,48.0,0.582,0.459,0.292,0.117,Los Angeles,1610612747,Lakers,0.358,BKN,,0.194,0,L
22500716,1610612743,Denver,Nuggets,Regular Season,1,0.506,0.518,2026-02-03T00:00:00,2026-02-03 19:00:00,0,DEN @ DET,48.0,0.521,0.319,0.321,0.09,Detroit,1610612765,Pistons,0.26,DEN,,0.099,0,L
22500722,1610612741,Chicago,Bulls,Regular Season,1,0.544,0.253,2026-02-03T00:00:00,2026-02-03 20:00:00,0,CHI @ MIL,48.0,0.634,0.155,0.333,0.14,Milwaukee,1610612749,Bucks,0.255,CHI,,0.098,0,L
